Player,TTL,AVG
Caleb Williams,1143,67.2
Bo Nix,1136,66.8
Dak Prescott,1135,66.8
Matthew Stafford,1117,65.7
Trevor Lawrence,1114,65.5
Baker Mayfield,1099,64.6
Jared Goff,1083,63.7
Drake Maye,1050,61.8
Justin Herbert,1043,65.2
Josh Allen,1034,60.8
Trey McBride,1033,60.8
Sam Darnold,1026,60.4
Cam Ward,1007,59.2
Cade Otton,993,62.1
Jameson Williams,992,58.4
Ja'Marr Chase,987,61.7
DJ Moore,979,57.6
Courtland Sutton,975,57.4
Wan'Dale Robinson,973,60.8
George Pickens,968,56.9
Jalen Hurts,965,60.3
Bryce Young,964,60.3
Kyle Pitts Sr.,961,56.5
Tre Tucker,942,55.4
Justin Jefferson,941,55.4
Amon-Ra St. Brown,939,55.2
Patrick Mahomes II,934,66.7
Christian McCaffrey,932,54.8
Tetairoa McMillan,925,54.4
Michael Wilson,923,54.3
Jerry Jeudy,921,54.2
Michael Pittman Jr.,918,54
Aaron Rodgers,918,57.4
Travis Kelce,902,53.1
Tyler Warren,899,52.9
Jordan Love,894,59.6
DeVonta Smith,888,52.2
Chris Olave,887,55.4
Emeka Egbuka,886,52.1
Jonathan Taylor,883,51.9
Zay Flowers,879,51.7
Jakobi Meyers,872,54.5
Theo Johnson,872,58.1
Hunter Henry,869,51.1
C.J. Stroud,868,62
Geno Smith,863,57.5
Bijan Robinson,860,50.6
Andrei Iosivas,851,50.1
Juwan Johnson,850,50
A.J. Brown,843,56.2
Ladd McConkey,838,52.4
Jaxon Smith-Njigba,829,48.8
AJ Barner,827,48.6
Dalton Schultz,827,48.6
Alec Pierce,813,54.2
Jacoby Brissett,812,58
Jauan Jennings,795,53
Dallas Goedert,787,52.5
Elic Ayomanor,787,49.2
Jake Ferguson,786,46.2
Harold Fannin Jr.,786,49.1
Romeo Doubs,780,48.8
Tua Tagovailoa,778,55.6
Nico Collins,778,51.9
Darnell Mooney,778,51.9
DK Metcalf,776,51.7
Jaxson Dart,774,55.3
Saquon Barkley,773,48.3
Kyren Williams,772,45.4
Ashton Jeanty,771,45.4
Javonte Williams,769,48.1
Tee Higgins,769,51.3
Cooper Kupp,768,48
Cole Kmet,768,48
Daniel Jones,756,58.2
Darius Slayton,755,53.9
Brian Thomas Jr.,741,52.9
Chase Brown,738,43.4
Jahmyr Gibbs,737,43.4
Rome Odunze,733,61.1
CeeDee Lamb,732,52.3
Puka Nacua,727,45.4
Jaylen Waddle,724,45.3
Quentin Johnston,723,51.6
Jordan Addison,714,51
Deebo Samuel Sr.,713,44.6
Drake London,709,59.1
Rashid Shaheed,705,39.2
Lamar Jackson,702,54
Colston Loveland,701,43.8
De'Von Achane,697,43.6
Travis Etienne Jr.,691,40.6
T.J. Hockenson,691,46.1
Joe Flacco,690,53.1
Parker Washington,672,42
Xavier Hutchinson,672,39.5
Jayden Higgins,671,39.5
Troy Franklin,670,39.4
Chig Okonkwo,666,39.2
Mack Hollins,657,43.8
Tony Pollard,657,38.6
Mason Taylor,654,50.3
Dawson Knox,653,38.4
Jalen Nailor,653,38.4
Adam Trautman,651,38.3
Xavier Worthy,645,46.1
Xavier Legette,642,42.8
Breece Hall,640,40
James Cook III,639,37.6
Tommy Tremble,636,37.4
Davante Adams,635,45.4
Khalil Shakir,635,39.7
Chimere Dike,631,37.1
Mark Andrews,631,37.1
Keenan Allen,630,37.1
Oronde Gadsden II,628,41.9
Colby Parkinson,621,41.4
D'Andre Swift,621,38.8
JuJu Smith-Schuster,620,36.5
Kayshon Boutte,607,43.4
Brock Bowers,605,50.4
Tyler Shough,605,55
Jahan Dotson,599,35.2
Stefon Diggs,598,35.2
Drew Sample,595,35
Josh Downs,594,37.1
Kendrick Bourne,594,37.1
Brenton Strange,591,49.3
Rico Dowdle,591,34.8
Davis Allen,585,34.4
Van Jefferson,583,36.4
Olamide Zaccheaus,580,36.3
Brock Purdy,576,64
Keon Coleman,576,44.3
Rachaad White,574,33.8
Woody Marks,571,35.7
Marvin Harrison Jr.,566,47.2
Charlie Woerner,565,33.2
David Sills V,565,33.2
Malik Washington,563,33.1
Derrick Henry,556,32.7
Tre Harris,555,32.6
Daniel Bellinger,555,34.7
George Kittle,554,50.4
Josh Jacobs,554,36.9
Michael Penix Jr.,553,61.4
Hollywood Brown,551,34.4
Zach Ertz,551,42.4
Rashod Bateman,551,42.4
Tyrone Tracy Jr.,548,36.5
Darnell Washington,546,34.1
Mac Jones,546,49.6
Noah Gray,545,34.1
Kirk Cousins,543,54.3
Brandin Cooks,537,35.8
Jonnu Smith,536,31.5
Rhamondre Stevenson,533,38.1
Gunnar Helm,533,33.3
Kareem Hunt,529,31.1
J.J. McCarthy,523,52.3
Pat Freiermuth,522,30.7
Kenneth Gainwell,517,30.4
Sam LaPorta,517,57.4
Cedric Tillman,515,39.6
David Njoku,514,42.8
Austin Hooper,512,32
Kyle Juszczyk,510,30
Marcus Mariota,510,46.4
TreVeyon Henderson,501,29.5
Justin Fields,501,55.7
Adonai Mitchell,498,31.1
Kenneth Walker III,498,29.3
Tyler Lockett,498,29.3
Sterling Shepard,495,38.1
Tez Johnson,495,30.9
Isaiah Bond,494,30.9
Jeremy Ruckert,494,29.1
Spencer Rattler,490,54.4
Zach Charbonnet,490,30.6
Jaylen Warren,489,30.6
Isaiah Likely,488,34.9
Jackson Hawes,487,28.6
RJ Harvey,481,28.3
Kimani Vidal,481,37
Ricky Pearsall,480,53.3
John Bates,479,31.9
Ryan Flournoy,479,31.9
Joe Burrow,478,59.8
Kyle Monangai,478,28.1
Elijah Higgins,475,27.9
Pat Bryant,475,31.7
Michael Mayer,465,35.8
Jalen Tolbert,464,35.7
Evan Engram,458,28.6
Alvin Kamara,457,41.5
Matthew Golden,452,32.3
Quinshon Judkins,452,32.3
Calvin Austin III,446,31.9
John Metchie III,445,27.8
Jordan Whittington,443,27.7
Julian Hill,441,31.5
Tyrell Shavers,441,25.9
Tucker Kraft,439,54.9
Jalen Coker,439,39.9
Devaughn Vele,437,33.6
Isaac TeSlaa,436,25.6
Terry McLaurin,433,43.3
Christian Kirk,433,33.3
Chuba Hubbard,432,28.8
Chris Moore,429,30.6
Luke Musgrave,428,25.2
Chris Godwin Jr.,428,47.6
Shedeur Sanders,428,53.5
Isiah Pacheco,424,32.6
Bucky Irving,421,42.1
Demarcus Robinson,420,30
Mo Alie-Cox,419,24.6
Christian Watson,418,41.8
Rashee Rice,415,51.9
Jordan Mason,413,25.8
Dontayvion Wicks,408,29.1
David Montgomery,408,24
Jacory Croskey-Merritt,406,23.9
Jayden Daniels,405,57.9
Luke Farrell,404,23.8
Luther Burden III,402,26.8
Charlie Kolar,402,23.6
Brock Wright,401,36.5
Josh Oliver,400,26.7
Dont'e Thornton Jr.,399,26.6
Jake Tonges,399,24.9
Ja'Tavion Sanders,393,30.2
Joshua Palmer,393,32.8
Mitchell Evans,393,23.1
Michael Carter,393,30.2
Luke Schoonmaker,391,23
Johnny Mundt,389,24.3
Adam Thielen,387,24.2
Nick Westbrook-Ikhine,386,25.7
Omarion Hampton,384,42.7
Garrett Wilson,383,54.7
KaVontae Turpin,380,25.3
Grant Calcaterra,380,25.3
Noah Fant,379,25.3
Marvin Mims Jr.,379,25.3
Arian Smith,376,23.5
Konata Mumpfield,375,22.1
Tyjae Spears,374,28.8
Dillon Gabriel,372,37.2
Tyquan Thornton,368,26.3
Tyler Higbee,366,36.6
Aaron Jones Sr.,366,30.5
Alec Ingold,363,21.4
Isaiah Hodgins,363,51.9
Kalif Raymond,358,23.9
Mike Evans,357,44.6
Dyami Brown,356,25.4
Terrance Ferguson,356,27.4
Payne Durham,354,20.8
Jaylin Lane,348,23.2
Samaje Perine,346,23.1
Jack Bech,343,22.9
Ben Sinnott,341,21.3
J.K. Dobbins,340,34
Marquez Valdes-Scantling,339,33.9
Jeremy McNichols,337,19.8
Kyle Williams,336,19.8
Tim Patrick,336,21
John FitzPatrick,335,22.3
Ty Johnson,335,19.7
DeAndre Hopkins,334,19.6
Blake Corum,332,19.5
Isaiah Williams,329,29.9
Lil'Jordan Humphrey,329,32.9
Tyler Allgeier,328,19.3
Emanuel Wilson,326,19.2
Nick Chubb,326,21.7
Travis Hunter,324,46.3
Mike Gesicki,321,24.7
Kyler Murray,318,63.6
Ian Thomas,318,21.2
Elijah Arroyo,316,24.3
Devin Singletary,311,18.3
Jaylin Noel,304,17.9
Dalton Kincaid,302,25.2
Brevyn Spann-Ford,300,17.6
Carson Wentz,300,60
Mason Tipton,297,22.8
Brady Cook,296,59.2
Cam Skattebo,295,36.9
Durham Smythe,293,17.2
Greg Dortch,292,24.3
Tyler Johnson,292,24.3
Davis Mills,292,48.7
Treylon Burks,292,36.5
DeMario Douglas,288,16.9
Mitch Tinsley,288,16.9
Isaiah Davis,285,17.8
Bam Knight,283,28.3
Eric Saubert,276,25.1
Patrick Ricard,274,24.9
Josh Reynolds,273,54.6
Xavier Weaver,272,30.2
Zay Jones,271,33.9
Jerome Ford,269,20.7
Devin Neal,268,29.8
Brycen Tremayne,264,16.5
Cade Stover,263,29.2
LeQuint Allen Jr.,259,15.2
Hunter Long,258,28.7
Chris Rodriguez Jr.,255,19.6
Roman Wilson,253,19.5
Foster Moreau,253,23
Hunter Luepke,251,14.8
Tyrod Taylor,251,41.8
Calvin Ridley,250,35.7
Allen Lazard,250,25
Dylan Sampson,249,16.6
Blake Whiteheart,245,15.3
Greg Dulcich,245,24.5
Kylen Granson,244,14.4
Kevin Austin Jr.,242,30.3
Gabe Davis,238,39.7
Jack Westover,237,13.9
Reggie Gilliam,235,13.8
Darren Waller,234,26
Xavier Smith,233,16.6
Tucker Fisk,233,23.3
Drew Ogletree,226,15.1
Tory Horton,226,28.3
Ollie Gordon II,223,13.1
Russell Wilson,220,36.7
Justice Hill,219,21.9
Jamari Thrash,216,24
